"timestamp","temperature","humidity","datetime"
1751416564556,24.6,41.9,2025-07-02 00:36:04.556
1751419867358,24.1,42.6,2025-07-02 01:31:07.358
1751420106689,24,42.5,2025-07-02 01:35:06.689
1751423164869,23.5,43.7,2025-07-02 02:26:04.869
1751426284630,23,44.8,2025-07-02 03:18:04.63
1751427366538,22.9,45.2,2025-07-02 03:36:06.538
1751434203144,23.4,46.3,2025-07-02 05:30:03.144
1751434625497,23.7,46.4,2025-07-02 05:37:05.497
1751436245991,24.2,46.5,2025-07-02 06:04:05.991
1751438525101,24.7,46.6,2025-07-02 06:42:05.101
1751441884239,25.1,46.4,2025-07-02 07:38:04.239
1751448843910,25.6,46.5,2025-07-02 09:34:03.91
1751449147656,25.6,46.5,2025-07-02 09:39:07.656
1751456404385,25.9,46.9,2025-07-02 11:40:04.385
1751461863775,26.4,47.5,2025-07-02 13:11:03.775
1751463665126,26.8,47.2,2025-07-02 13:41:05.126
1751466126104,27.3,46.8,2025-07-02 14:22:06.104
1751470504209,27.8,46.4,2025-07-02 15:35:04.209
1751470926310,27.9,46.3,2025-07-02 15:42:06.31
1751478185159,28.3,45.9,2025-07-02 17:43:05.159
1751484184728,28.1,40.6,2025-07-02 19:23:04.728
1751485445708,28.1,39.8,2025-07-02 19:44:05.708
1751492706215,27.9,38.7,2025-07-02 21:45:06.215
1751499723333,27.4,40.5,2025-07-02 23:42:03.333
1751499965315,27.4,40.8,2025-07-02 23:46:05.315
