"timestamp","temperature","humidity","datetime"
1753835222092,21.8,54.1,2025-07-30 00:27:02.092
1753835344299,21.1,55.1,2025-07-30 00:29:04.299
1753835703536,21.7,55.1,2025-07-30 00:35:03.536
1753839302729,22.1,55.2,2025-07-30 01:35:02.729
1753846560977,22.1,55.4,2025-07-30 03:36:00.977
1753853821495,22.1,56,2025-07-30 05:37:01.495
1753861083012,22.5,56.1,2025-07-30 07:38:03.012
1753864562343,23,52.4,2025-07-30 08:36:02.343
1753868342550,22.9,49.7,2025-07-30 09:39:02.55
1753873921973,23.4,45.8,2025-07-30 11:12:01.973
1753875603430,23.4,47.7,2025-07-30 11:40:03.43
1753882861166,23.2,48.6,2025-07-30 13:41:01.166
1753890120942,23.2,49.3,2025-07-30 15:42:00.942
1753897381163,23.2,49.7,2025-07-30 17:43:01.163
1753904641241,23.1,49.9,2025-07-30 19:44:01.241
1753911900961,23,50.5,2025-07-30 21:45:00.961
1753915682998,22.5,49.8,2025-07-30 22:48:02.998
1753919162071,22.7,51.2,2025-07-30 23:46:02.071
