"timestamp","temperature","humidity","datetime"
1753840081633,23.6,58.2,2025-07-30 01:48:01.633
1753847342054,23.6,58.8,2025-07-30 03:49:02.054
1753854602405,23.4,57.4,2025-07-30 05:50:02.405
1753861869557,23.4,55.2,2025-07-30 07:51:09.557
1753869121514,23.5,55.6,2025-07-30 09:52:01.514
1753876382055,23.5,55.9,2025-07-30 11:53:02.055
1753883641483,23.6,56.3,2025-07-30 13:54:01.483
1753890901726,23.7,56.6,2025-07-30 15:55:01.726
1753898161333,23.6,56.5,2025-07-30 17:56:01.333
1753905421524,23.4,56.2,2025-07-30 19:57:01.524
1753912695005,23.5,56.3,2025-07-30 21:58:15.005
1753919940999,23.6,57.2,2025-07-30 23:59:00.999
