"timestamp","temperature","humidity","datetime"
1751418903129,29.4,36,2025-07-02 01:15:03.129
1751426162071,29.2,36.5,2025-07-02 03:16:02.071
1751427726689,28.6,35.3,2025-07-02 03:42:06.689
1751427904807,28.1,35.2,2025-07-02 03:45:04.807
1751428203962,27.6,35.2,2025-07-02 03:50:03.962
1751428564667,27.1,35.5,2025-07-02 03:56:04.667
1751429044603,26.5,36.2,2025-07-02 04:04:04.603
1751429704514,26,37.1,2025-07-02 04:15:04.514
1751430184568,26.5,36.8,2025-07-02 04:23:04.568
1751430844612,27,37,2025-07-02 04:34:04.612
1751431684522,27.6,37.4,2025-07-02 04:48:04.522
1751432583391,28.1,37.5,2025-07-02 05:03:03.391
1751433424257,28.5,37.3,2025-07-02 05:17:04.257
1751434684668,29,37.1,2025-07-02 05:38:04.668
1751436196201,29.6,37.2,2025-07-02 06:03:16.201
1751438043920,30.1,36.8,2025-07-02 06:34:03.92
1751440635252,30.6,36.2,2025-07-02 07:17:15.252
1751440684766,30.7,36.2,2025-07-02 07:18:04.766
1751444643411,31.2,36.4,2025-07-02 08:24:03.411
1751447954887,31.5,37.2,2025-07-02 09:19:14.887
1751453523327,31.7,31.9,2025-07-02 10:52:03.327
1751454604386,32.3,29.6,2025-07-02 11:10:04.386
1751455203543,32.5,28.6,2025-07-02 11:20:03.543
1751458443334,33,26.9,2025-07-02 12:14:03.334
1751462463519,33.1,25.5,2025-07-02 13:21:03.519
1751465463176,32.6,25.6,2025-07-02 14:11:03.176
1751469723045,32.2,27.5,2025-07-02 15:22:03.045
1751476996050,32,26.7,2025-07-02 17:23:16.05
1751484241463,31.9,26.2,2025-07-02 19:24:01.463
1751491502321,31.6,28.4,2025-07-02 21:25:02.321
1751498761996,31.6,30.7,2025-07-02 23:26:01.996
