datetime,temperature,humidity,person
2025-06-23 02:00:00,24.0,43.9,Aconcagua.csv
2025-06-23 03:00:00,24.05,46.15,Aconcagua.csv
2025-06-23 04:00:00,24.1,48.4,Aconcagua.csv
2025-06-23 05:00:00,24.05,49.75,Aconcagua.csv
2025-06-23 06:00:00,24.0,51.1,Aconcagua.csv
2025-06-23 07:00:00,24.1,50.55,Aconcagua.csv
2025-06-23 08:00:00,24.2,50.0,Aconcagua.csv
2025-06-23 09:00:00,24.25,49.65,Aconcagua.csv
2025-06-23 10:00:00,24.3,49.3,Aconcagua.csv
2025-06-23 11:00:00,24.35,49.3,Aconcagua.csv
2025-06-23 12:00:00,24.4,49.3,Aconcagua.csv
2025-06-23 13:00:00,24.45,49.45,Aconcagua.csv
2025-06-23 14:00:00,24.5,49.6,Aconcagua.csv
2025-06-23 15:00:00,24.5,49.45,Aconcagua.csv
2025-06-23 16:00:00,24.5,49.3,Aconcagua.csv
2025-06-23 17:00:00,24.5,49.05,Aconcagua.csv
2025-06-23 18:00:00,24.5,48.8,Aconcagua.csv
2025-06-23 19:00:00,24.45,48.75,Aconcagua.csv
2025-06-23 20:00:00,24.4,48.7,Aconcagua.csv
2025-06-23 21:00:00,24.25,46.85,Aconcagua.csv
2025-06-23 22:00:00,24.1,45.0,Aconcagua.csv
2025-06-23 23:00:00,24.0,43.9,Aconcagua.csv
2025-06-24 00:00:00,23.9,42.8,Aconcagua.csv
2025-06-24 01:00:00,23.85,42.3,Aconcagua.csv
2025-06-24 02:00:00,23.8,41.8,Aconcagua.csv
2025-06-24 03:00:00,23.75,42.0,Aconcagua.csv
2025-06-24 04:00:00,23.7,42.2,Aconcagua.csv
2025-06-24 05:00:00,23.549999999999997,41.7,Aconcagua.csv
2025-06-24 06:00:00,23.4,41.2,Aconcagua.csv
2025-06-24 07:00:00,23.549999999999997,40.95,Aconcagua.csv
2025-06-24 08:00:00,23.7,40.7,Aconcagua.csv
2025-06-24 09:00:00,23.7,40.6,Aconcagua.csv
2025-06-24 10:00:00,23.7,40.5,Aconcagua.csv
2025-06-24 11:00:00,23.75,40.95,Aconcagua.csv
