datetime,temperature,person
2025-06-19 11:00:00,25.46666666666667,Aconcagua.csv
2025-06-19 12:00:00,24.3,Aconcagua.csv
2025-06-19 13:00:00,23.8,Aconcagua.csv
2025-06-19 14:00:00,23.75,Aconcagua.csv
2025-06-19 15:00:00,23.7,Aconcagua.csv
2025-06-19 16:00:00,23.7,Aconcagua.csv
2025-06-19 17:00:00,23.7,Aconcagua.csv
2025-06-19 18:00:00,23.7,Aconcagua.csv
2025-06-19 19:00:00,23.7,Aconcagua.csv
2025-06-19 20:00:00,22.9,Aconcagua.csv
2025-06-19 21:00:00,22.1,Aconcagua.csv
2025-06-19 22:00:00,21.75,Aconcagua.csv
2025-06-19 23:00:00,21.4,Aconcagua.csv
2025-06-20 00:00:00,21.125,Aconcagua.csv
2025-06-20 01:00:00,20.85,Aconcagua.csv
2025-06-20 02:00:00,21.175,Aconcagua.csv
2025-06-20 03:00:00,21.5,Aconcagua.csv
2025-06-20 04:00:00,21.6,Aconcagua.csv
2025-06-20 05:00:00,21.7,Aconcagua.csv
2025-06-20 06:00:00,21.75,Aconcagua.csv
2025-06-20 07:00:00,21.8,Aconcagua.csv
2025-06-20 08:00:00,21.85,Aconcagua.csv
2025-06-20 09:00:00,21.9,Aconcagua.csv
2025-06-20 10:00:00,22.15,Aconcagua.csv
2025-06-20 11:00:00,22.4,Aconcagua.csv
2025-06-20 12:00:00,22.5,Aconcagua.csv
2025-06-20 13:00:00,22.6,Aconcagua.csv
2025-06-20 14:00:00,22.700000000000003,Aconcagua.csv
2025-06-20 15:00:00,22.8,Aconcagua.csv
2025-06-20 16:00:00,22.833333333333332,Aconcagua.csv
2025-06-20 17:00:00,22.866666666666667,Aconcagua.csv
2025-06-20 18:00:00,22.9,Aconcagua.csv
2025-06-20 19:00:00,22.9,Aconcagua.csv
2025-06-20 20:00:00,22.9,Aconcagua.csv
2025-06-20 21:00:00,22.799999999999997,Aconcagua.csv
2025-06-20 22:00:00,22.7,Aconcagua.csv
2025-06-20 23:00:00,22.5,Aconcagua.csv
2025-06-21 00:00:00,22.3,Aconcagua.csv
2025-06-21 01:00:00,22.15,Aconcagua.csv
2025-06-21 02:00:00,22.0,Aconcagua.csv
2025-06-21 03:00:00,22.0,Aconcagua.csv
2025-06-21 04:00:00,22.0,Aconcagua.csv
2025-06-21 05:00:00,22.0,Aconcagua.csv
2025-06-21 06:00:00,22.0,Aconcagua.csv
2025-06-21 07:00:00,22.2,Aconcagua.csv
2025-06-21 08:00:00,22.4,Aconcagua.csv
2025-06-21 09:00:00,22.45,Aconcagua.csv
2025-06-21 10:00:00,22.5,Aconcagua.csv
2025-06-21 11:00:00,22.55,Aconcagua.csv
2025-06-21 12:00:00,22.6,Aconcagua.csv
2025-06-21 13:00:00,22.700000000000003,Aconcagua.csv
2025-06-21 14:00:00,22.8,Aconcagua.csv
2025-06-21 15:00:00,22.9,Aconcagua.csv
2025-06-21 16:00:00,23.0,Aconcagua.csv
2025-06-21 17:00:00,23.05,Aconcagua.csv
2025-06-21 18:00:00,23.1,Aconcagua.csv
2025-06-21 19:00:00,23.05,Aconcagua.csv
2025-06-21 20:00:00,23.0,Aconcagua.csv
2025-06-21 21:00:00,23.05,Aconcagua.csv
2025-06-21 22:00:00,23.1,Aconcagua.csv
2025-06-21 23:00:00,23.05,Aconcagua.csv
2025-06-22 00:00:00,23.0,Aconcagua.csv
2025-06-22 01:00:00,22.95,Aconcagua.csv
2025-06-22 02:00:00,22.9,Aconcagua.csv
2025-06-22 03:00:00,22.95,Aconcagua.csv
2025-06-22 04:00:00,23.0,Aconcagua.csv
2025-06-22 05:00:00,22.95,Aconcagua.csv
2025-06-22 06:00:00,22.9,Aconcagua.csv
2025-06-22 07:00:00,23.049999999999997,Aconcagua.csv
2025-06-22 08:00:00,23.2,Aconcagua.csv
2025-06-22 09:00:00,23.25,Aconcagua.csv
2025-06-22 10:00:00,23.3,Aconcagua.csv
2025-06-22 11:00:00,23.35,Aconcagua.csv
2025-06-22 12:00:00,23.4,Aconcagua.csv
2025-06-22 13:00:00,23.45,Aconcagua.csv
2025-06-22 14:00:00,23.5,Aconcagua.csv
2025-06-22 15:00:00,23.55,Aconcagua.csv
2025-06-22 16:00:00,23.6,Aconcagua.csv
2025-06-22 17:00:00,23.65,Aconcagua.csv
